
xv6 kernel is booting

hart 2 starting
hart 1 starting
init: starting sh
$ trace 2 usertests forkforkfork
usertests starting
3: syscall fork -> 4
test forkforkfork: 3: syscall fork -> 5
5: syscall fork -> 6
6: syscall fork -> 7
6: syscall fork -> 8
7: syscall fork -> 9
6: syscall fork -> 10
9: syscall fork -> 12
8: syscall fork -> 11
9: syscall fork -> 13
7: syscall fork -> 14
7: syscall fork -> 16
8: syscall fork -> 17
6: syscall fork -> 15
7: syscall fork -> 18
6: syscall fork -> 20
7: syscall fork -> 21
8: syscall fork -> 19
6: syscall fork -> 22
7: syscall fork -> 23
6: syscall fork -> 24
9: syscall fork -> 25
6: syscall fork -> 26
9: syscall fork -> 27
6: syscall fork -> 28
9: syscall fork -> 29
18: syscall fork -> 30
10: syscall fork -> 31
9: syscall fork -> 32
10: syscall fork -> 33
7: syscall fork -> 34
10: syscall fork -> 35
11: syscall fork -> 36
8: syscall fork -> 37
22: syscall fork -> 38
7: syscall fork -> 39
8: syscall fork -> 40
22: syscall fork -> 41
8: syscall fork -> 42
22: syscall fork -> 43
8: syscall fork -> 44
22: syscall fork -> 45
8: syscall fork -> 46
22: syscall fork -> 47
8: syscall fork -> 48
22: syscall fork -> 49
8: syscall fork -> 50
22: syscall fork -> 51
8: syscall fork -> 52
8: syscall fork -> 53
6: syscall fork -> 54
8: syscall fork -> 56
22: syscall fork -> 55
6: syscall fork -> 57
22: syscall fork -> 58
8: syscall fork -> 59
22: syscall fork -> 60
8: syscall fork -> 61
17: syscall fork -> 62
16: syscall fork -> 63
8: syscall fork -> 64
17: syscall fork -> 65
8: syscall fork -> -1
17: syscall fork -> -1
23: syscall fork -> -1
OK
3: syscall fork -> 66
ALL TESTS PASSED
$ qemu-system-riscv64: terminating on signal 15 from pid 6707 (make)
